"","start","Haider."
"1",2014-11-01,100
"2",2014-11-02,91
"3",2014-11-03,71
"4",2014-11-04,63
"5",2014-11-05,55
"6",2014-11-06,55
"7",2014-11-07,59
"8",2014-11-08,69
"9",2014-11-09,58
"10",2014-11-10,46
"11",2014-11-11,43
"12",2014-11-12,41
"13",2014-11-13,46
"14",2014-11-14,46
"15",2014-11-15,53
"16",2014-11-16,48
"17",2014-11-17,37
"18",2014-11-18,37
"19",2014-11-19,37
"20",2014-11-20,37
"21",2014-11-21,38
"22",2014-11-22,46
"23",2014-11-23,47
"24",2014-11-24,33
"25",2014-11-25,35
"26",2014-11-26,33
"27",2014-11-27,33
"28",2014-11-28,37
"29",2014-11-29,39
"30",2014-11-30,39
