"","start","Nautanki.Saala.movie."
"1",2013-05-01,77
"2",2013-05-02,69
"3",2013-05-03,82
"4",2013-05-04,100
"5",2013-05-05,86
"6",2013-05-06,53
"7",2013-05-07,52
"8",2013-05-08,49
"9",2013-05-09,68
"10",2013-05-10,85
"11",2013-05-11,79
"12",2013-05-12,58
"13",2013-05-13,55
"14",2013-05-14,47
"15",2013-05-15,52
"16",2013-05-16,44
"17",2013-05-17,38
"18",2013-05-18,68
"19",2013-05-19,58
"20",2013-05-20,54
"21",2013-05-21,45
"22",2013-05-22,49
"23",2013-05-23,48
"24",2013-05-24,57
"25",2013-05-25,64
"26",2013-05-26,53
"27",2013-05-27,44
"28",2013-05-28,33
"29",2013-05-29,36
"30",2013-05-30,51
"31",2013-05-31,39
