"","start","Nautanki.Saala.movie."
"1",2013-02-01,1
"2",2013-02-02,0
"3",2013-02-03,0
"4",2013-02-04,0
"5",2013-02-05,0
"6",2013-02-06,1
"7",2013-02-07,2
"8",2013-02-08,1
"9",2013-02-09,2
"10",2013-02-10,1
"11",2013-02-11,1
"12",2013-02-12,1
"13",2013-02-13,1
"14",2013-02-14,1
"15",2013-02-15,1
"16",2013-02-16,1
"17",2013-02-17,1
"18",2013-02-18,1
"19",2013-02-19,0
"20",2013-02-20,1
"21",2013-02-21,1
"22",2013-02-22,2
"23",2013-02-23,2
"24",2013-02-24,4
"25",2013-02-25,8
"26",2013-02-26,7
"27",2013-02-27,9
"28",2013-02-28,8
"29",2013-03-01,6
"30",2013-03-02,9
"31",2013-03-03,8
"32",2013-03-04,8
"33",2013-03-05,8
"34",2013-03-06,8
"35",2013-03-07,11
"36",2013-03-08,8
"37",2013-03-09,14
"38",2013-03-10,13
"39",2013-03-11,11
"40",2013-03-12,11
"41",2013-03-13,10
"42",2013-03-14,11
"43",2013-03-15,14
"44",2013-03-16,18
"45",2013-03-17,17
"46",2013-03-18,13
"47",2013-03-19,15
"48",2013-03-20,14
"49",2013-03-21,15
"50",2013-03-22,16
"51",2013-03-23,22
"52",2013-03-24,21
"53",2013-03-25,20
"54",2013-03-26,19
"55",2013-03-27,17
"56",2013-03-28,19
"57",2013-03-29,20
"58",2013-03-30,20
"59",2013-03-31,21
"60",2013-04-01,18
"61",2013-04-02,14
"62",2013-04-03,15
"63",2013-04-04,17
"64",2013-04-05,17
"65",2013-04-06,19
"66",2013-04-07,22
"67",2013-04-08,16
"68",2013-04-09,17
"69",2013-04-10,20
"70",2013-04-11,29
"71",2013-04-12,95
"72",2013-04-13,100
"73",2013-04-14,83
"74",2013-04-15,54
"75",2013-04-16,50
"76",2013-04-17,43
"77",2013-04-18,46
"78",2013-04-19,50
"79",2013-04-20,56
"80",2013-04-21,46
"81",2013-04-22,30
"82",2013-04-23,27
"83",2013-04-24,28
"84",2013-04-25,25
"85",2013-04-26,26
"86",2013-04-27,41
"87",2013-04-28,29
"88",2013-04-29,18
"89",2013-04-30,20
