"","start","Filmistaan."
"1",2014-07-01,61
"2",2014-07-02,56
"3",2014-07-03,58
"4",2014-07-04,71
"5",2014-07-05,100
"6",2014-07-06,83
"7",2014-07-07,51
"8",2014-07-08,46
"9",2014-07-09,56
"10",2014-07-10,48
"11",2014-07-11,57
"12",2014-07-12,87
"13",2014-07-13,62
"14",2014-07-14,41
"15",2014-07-15,46
"16",2014-07-16,34
"17",2014-07-17,44
"18",2014-07-18,33
"19",2014-07-19,69
"20",2014-07-20,76
"21",2014-07-21,32
"22",2014-07-22,32
"23",2014-07-23,37
"24",2014-07-24,25
"25",2014-07-25,23
"26",2014-07-26,64
"27",2014-07-27,43
"28",2014-07-28,30
"29",2014-07-29,44
"30",2014-07-30,37
"31",2014-07-31,26
