"","start","Holiday."
"1",2014-07-01,87
"2",2014-07-02,84
"3",2014-07-03,90
"4",2014-07-04,100
"5",2014-07-05,83
"6",2014-07-06,92
"7",2014-07-07,91
"8",2014-07-08,84
"9",2014-07-09,80
"10",2014-07-10,79
"11",2014-07-11,78
"12",2014-07-12,77
"13",2014-07-13,88
"14",2014-07-14,94
"15",2014-07-15,86
"16",2014-07-16,83
"17",2014-07-17,79
"18",2014-07-18,76
"19",2014-07-19,79
"20",2014-07-20,87
"21",2014-07-21,90
"22",2014-07-22,83
"23",2014-07-23,83
"24",2014-07-24,83
"25",2014-07-25,84
"26",2014-07-26,79
"27",2014-07-27,91
"28",2014-07-28,99
"29",2014-07-29,90
"30",2014-07-30,87
"31",2014-07-31,86
