"","start","Holiday."
"1",2014-06-01,68
"2",2014-06-02,71
"3",2014-06-03,65
"4",2014-06-04,65
"5",2014-06-05,67
"6",2014-06-06,84
"7",2014-06-07,95
"8",2014-06-08,100
"9",2014-06-09,95
"10",2014-06-10,80
"11",2014-06-11,78
"12",2014-06-12,74
"13",2014-06-13,72
"14",2014-06-14,74
"15",2014-06-15,79
"16",2014-06-16,75
"17",2014-06-17,71
"18",2014-06-18,69
"19",2014-06-19,69
"20",2014-06-20,69
"21",2014-06-21,68
"22",2014-06-22,76
"23",2014-06-23,76
"24",2014-06-24,70
"25",2014-06-25,70
"26",2014-06-26,66
"27",2014-06-27,66
"28",2014-06-28,65
"29",2014-06-29,73
"30",2014-06-30,73
