"","start","Furious.7."
"1",2015-11-01,90
"2",2015-11-02,67
"3",2015-11-03,60
"4",2015-11-04,65
"5",2015-11-05,64
"6",2015-11-06,72
"7",2015-11-07,96
"8",2015-11-08,91
"9",2015-11-09,63
"10",2015-11-10,67
"11",2015-11-11,64
"12",2015-11-12,63
"13",2015-11-13,66
"14",2015-11-14,87
"15",2015-11-15,100
"16",2015-11-16,73
"17",2015-11-17,58
"18",2015-11-18,59
"19",2015-11-19,62
"20",2015-11-20,68
"21",2015-11-21,87
"22",2015-11-22,90
"23",2015-11-23,65
"24",2015-11-24,57
"25",2015-11-25,58
"26",2015-11-26,70
"27",2015-11-27,73
"28",2015-11-28,90
"29",2015-11-29,85
"30",2015-11-30,60
