"","start","Horror.Story."
"1",2013-10-01,14
"2",2013-10-02,17
"3",2013-10-03,17
"4",2013-10-04,15
"5",2013-10-05,17
"6",2013-10-06,22
"7",2013-10-07,19
"8",2013-10-08,22
"9",2013-10-09,46
"10",2013-10-10,100
"11",2013-10-11,48
"12",2013-10-12,38
"13",2013-10-13,36
"14",2013-10-14,29
"15",2013-10-15,26
"16",2013-10-16,33
"17",2013-10-17,59
"18",2013-10-18,34
"19",2013-10-19,30
"20",2013-10-20,30
"21",2013-10-21,23
"22",2013-10-22,21
"23",2013-10-23,24
"24",2013-10-24,55
"25",2013-10-25,35
"26",2013-10-26,30
"27",2013-10-27,29
"28",2013-10-28,22
"29",2013-10-29,19
"30",2013-10-30,23
"31",2013-10-31,47
