"","start","Horror.Story."
"1",2013-08-01,30
"2",2013-08-02,31
"3",2013-08-03,39
"4",2013-08-04,39
"5",2013-08-05,33
"6",2013-08-06,45
"7",2013-08-07,52
"8",2013-08-08,45
"9",2013-08-09,39
"10",2013-08-10,39
"11",2013-08-11,41
"12",2013-08-12,33
"13",2013-08-13,32
"14",2013-08-14,30
"15",2013-08-15,37
"16",2013-08-16,35
"17",2013-08-17,37
"18",2013-08-18,45
"19",2013-08-19,34
"20",2013-08-20,32
"21",2013-08-21,30
"22",2013-08-22,33
"23",2013-08-23,37
"24",2013-08-24,65
"25",2013-08-25,64
"26",2013-08-26,42
"27",2013-08-27,42
"28",2013-08-28,42
"29",2013-08-29,37
"30",2013-08-30,35
"31",2013-08-31,43
"32",2013-09-01,44
"33",2013-09-02,43
"34",2013-09-03,46
"35",2013-09-04,59
"36",2013-09-05,48
"37",2013-09-06,45
"38",2013-09-07,57
"39",2013-09-08,58
"40",2013-09-09,46
"41",2013-09-10,60
"42",2013-09-11,81
"43",2013-09-12,66
"44",2013-09-13,84
"45",2013-09-14,94
"46",2013-09-15,90
"47",2013-09-16,74
"48",2013-09-17,74
"49",2013-09-18,76
"50",2013-09-19,75
"51",2013-09-20,98
"52",2013-09-21,100
"53",2013-09-22,98
"54",2013-09-23,99
"55",2013-09-24,76
"56",2013-09-25,100
"57",2013-09-26,96
"58",2013-09-27,81
"59",2013-09-28,90
"60",2013-09-29,99
"61",2013-09-30,81
