"","start","Himmatwala."
"1",2013-07-01,73
"2",2013-07-02,79
"3",2013-07-03,69
"4",2013-07-04,75
"5",2013-07-05,84
"6",2013-07-06,94
"7",2013-07-07,100
"8",2013-07-08,64
"9",2013-07-09,69
"10",2013-07-10,69
"11",2013-07-11,60
"12",2013-07-12,68
"13",2013-07-13,84
"14",2013-07-14,84
"15",2013-07-15,57
"16",2013-07-16,64
"17",2013-07-17,61
"18",2013-07-18,62
"19",2013-07-19,59
"20",2013-07-20,74
"21",2013-07-21,80
"22",2013-07-22,51
"23",2013-07-23,49
"24",2013-07-24,46
"25",2013-07-25,50
"26",2013-07-26,53
"27",2013-07-27,68
"28",2013-07-28,68
"29",2013-07-29,54
"30",2013-07-30,51
"31",2013-07-31,52
