"","start","Gunday."
"1",2014-03-01,100
"2",2014-03-02,82
"3",2014-03-03,61
"4",2014-03-04,58
"5",2014-03-05,53
"6",2014-03-06,54
"7",2014-03-07,54
"8",2014-03-08,65
"9",2014-03-09,66
"10",2014-03-10,46
"11",2014-03-11,49
"12",2014-03-12,44
"13",2014-03-13,46
"14",2014-03-14,50
"15",2014-03-15,59
"16",2014-03-16,56
"17",2014-03-17,41
"18",2014-03-18,38
"19",2014-03-19,36
"20",2014-03-20,37
"21",2014-03-21,36
"22",2014-03-22,43
"23",2014-03-23,40
"24",2014-03-24,31
"25",2014-03-25,32
"26",2014-03-26,31
"27",2014-03-27,30
"28",2014-03-28,32
"29",2014-03-29,38
"30",2014-03-30,36
"31",2014-03-31,27
