"","start","Gunday."
"1",2014-02-01,18
"2",2014-02-02,19
"3",2014-02-03,16
"4",2014-02-04,16
"5",2014-02-05,16
"6",2014-02-06,10
"7",2014-02-07,19
"8",2014-02-08,26
"9",2014-02-09,32
"10",2014-02-10,26
"11",2014-02-11,25
"12",2014-02-12,23
"13",2014-02-13,29
"14",2014-02-14,78
"15",2014-02-15,100
"16",2014-02-16,90
"17",2014-02-17,62
"18",2014-02-18,53
"19",2014-02-19,48
"20",2014-02-20,45
"21",2014-02-21,49
"22",2014-02-22,55
"23",2014-02-23,47
"24",2014-02-24,32
"25",2014-02-25,29
"26",2014-02-26,26
"27",2014-02-27,27
"28",2014-02-28,26
