"","start","David."
"1",2013-09-01,100
"2",2013-09-02,75
"3",2013-09-03,70
"4",2013-09-04,67
"5",2013-09-05,67
"6",2013-09-06,67
"7",2013-09-07,65
"8",2013-09-08,69
"9",2013-09-09,69
"10",2013-09-10,66
"11",2013-09-11,69
"12",2013-09-12,69
"13",2013-09-13,70
"14",2013-09-14,79
"15",2013-09-15,70
"16",2013-09-16,68
"17",2013-09-17,68
"18",2013-09-18,67
"19",2013-09-19,65
"20",2013-09-20,67
"21",2013-09-21,68
"22",2013-09-22,68
"23",2013-09-23,68
"24",2013-09-24,66
"25",2013-09-25,64
"26",2013-09-26,66
"27",2013-09-27,67
"28",2013-09-28,66
"29",2013-09-29,67
"30",2013-09-30,66
