"","start","Dum.Laga.Ke.Haisha."
"1",2015-07-01,26
"2",2015-07-02,28
"3",2015-07-03,30
"4",2015-07-04,43
"5",2015-07-05,47
"6",2015-07-06,33
"7",2015-07-07,30
"8",2015-07-08,35
"9",2015-07-09,33
"10",2015-07-10,39
"11",2015-07-11,100
"12",2015-07-12,92
"13",2015-07-13,32
"14",2015-07-14,27
"15",2015-07-15,24
"16",2015-07-16,23
"17",2015-07-17,21
"18",2015-07-18,30
"19",2015-07-19,33
"20",2015-07-20,19
"21",2015-07-21,18
"22",2015-07-22,15
"23",2015-07-23,17
"24",2015-07-24,20
"25",2015-07-25,25
"26",2015-07-26,24
"27",2015-07-27,21
"28",2015-07-28,22
"29",2015-07-29,18
"30",2015-07-30,20
"31",2015-07-31,23
