"","start","Dum.Laga.Ke.Haisha."
"1",2015-08-01,62
"2",2015-08-02,100
"3",2015-08-03,49
"4",2015-08-04,36
"5",2015-08-05,35
"6",2015-08-06,35
"7",2015-08-07,33
"8",2015-08-08,50
"9",2015-08-09,51
"10",2015-08-10,34
"11",2015-08-11,31
"12",2015-08-12,28
"13",2015-08-13,33
"14",2015-08-14,42
"15",2015-08-15,48
"16",2015-08-16,39
"17",2015-08-17,29
"18",2015-08-18,34
"19",2015-08-19,35
"20",2015-08-20,31
"21",2015-08-21,36
"22",2015-08-22,43
"23",2015-08-23,34
"24",2015-08-24,26
"25",2015-08-25,26
"26",2015-08-26,30
"27",2015-08-27,25
"28",2015-08-28,32
"29",2015-08-29,35
"30",2015-08-30,34
"31",2015-08-31,26
