"","start","Robocop..movie."
"1",2014-03-01,100
"2",2014-03-02,85
"3",2014-03-03,56
"4",2014-03-04,50
"5",2014-03-05,48
"6",2014-03-06,45
"7",2014-03-07,59
"8",2014-03-08,74
"9",2014-03-09,76
"10",2014-03-10,41
"11",2014-03-11,35
"12",2014-03-12,34
"13",2014-03-13,36
"14",2014-03-14,43
"15",2014-03-15,56
"16",2014-03-16,45
"17",2014-03-17,33
"18",2014-03-18,29
"19",2014-03-19,29
"20",2014-03-20,27
"21",2014-03-21,34
"22",2014-03-22,45
"23",2014-03-23,45
"24",2014-03-24,26
"25",2014-03-25,25
"26",2014-03-26,32
"27",2014-03-27,32
"28",2014-03-28,32
"29",2014-03-29,41
"30",2014-03-30,41
"31",2014-03-31,27
