"","start","ABCD.2."
"1",2015-08-01,98
"2",2015-08-02,94
"3",2015-08-03,64
"4",2015-08-04,60
"5",2015-08-05,67
"6",2015-08-06,66
"7",2015-08-07,71
"8",2015-08-08,89
"9",2015-08-09,85
"10",2015-08-10,56
"11",2015-08-11,58
"12",2015-08-12,59
"13",2015-08-13,64
"14",2015-08-14,71
"15",2015-08-15,100
"16",2015-08-16,89
"17",2015-08-17,56
"18",2015-08-18,52
"19",2015-08-19,50
"20",2015-08-20,49
"21",2015-08-21,53
"22",2015-08-22,68
"23",2015-08-23,68
"24",2015-08-24,43
"25",2015-08-25,40
"26",2015-08-26,41
"27",2015-08-27,41
"28",2015-08-28,51
"29",2015-08-29,61
"30",2015-08-30,58
"31",2015-08-31,38
