"","start","ABCD.2."
"1",2015-04-01,1
"2",2015-04-02,1
"3",2015-04-03,1
"4",2015-04-04,1
"5",2015-04-05,1
"6",2015-04-06,1
"7",2015-04-07,0
"8",2015-04-08,1
"9",2015-04-09,0
"10",2015-04-10,0
"11",2015-04-11,1
"12",2015-04-12,1
"13",2015-04-13,1
"14",2015-04-14,1
"15",2015-04-15,2
"16",2015-04-16,2
"17",2015-04-17,1
"18",2015-04-18,1
"19",2015-04-19,1
"20",2015-04-20,1
"21",2015-04-21,2
"22",2015-04-22,9
"23",2015-04-23,8
"24",2015-04-24,6
"25",2015-04-25,7
"26",2015-04-26,7
"27",2015-04-27,5
"28",2015-04-28,5
"29",2015-04-29,4
"30",2015-04-30,5
"31",2015-05-01,5
"32",2015-05-02,5
"33",2015-05-03,5
"34",2015-05-04,4
"35",2015-05-05,4
"36",2015-05-06,4
"37",2015-05-07,8
"38",2015-05-08,9
"39",2015-05-09,13
"40",2015-05-10,13
"41",2015-05-11,12
"42",2015-05-12,12
"43",2015-05-13,13
"44",2015-05-14,18
"45",2015-05-15,21
"46",2015-05-16,26
"47",2015-05-17,27
"48",2015-05-18,24
"49",2015-05-19,24
"50",2015-05-20,26
"51",2015-05-21,27
"52",2015-05-22,28
"53",2015-05-23,31
"54",2015-05-24,26
"55",2015-05-25,22
"56",2015-05-26,22
"57",2015-05-27,21
"58",2015-05-28,22
"59",2015-05-29,23
"60",2015-05-30,27
"61",2015-05-31,24
"62",2015-06-01,19
"63",2015-06-02,19
"64",2015-06-03,20
"65",2015-06-04,22
"66",2015-06-05,23
"67",2015-06-06,25
"68",2015-06-07,27
"69",2015-06-08,23
"70",2015-06-09,25
"71",2015-06-10,25
"72",2015-06-11,25
"73",2015-06-12,27
"74",2015-06-13,33
"75",2015-06-14,37
"76",2015-06-15,28
"77",2015-06-16,27
"78",2015-06-17,29
"79",2015-06-18,33
"80",2015-06-19,83
"81",2015-06-20,100
"82",2015-06-21,84
"83",2015-06-22,61
"84",2015-06-23,52
"85",2015-06-24,48
"86",2015-06-25,46
"87",2015-06-26,45
"88",2015-06-27,57
"89",2015-06-28,53
"90",2015-06-29,36
"91",2015-06-30,35
