"","start","X47.Ronin."
"1",2014-11-01,62
"2",2014-11-02,58
"3",2014-11-03,37
"4",2014-11-04,33
"5",2014-11-05,35
"6",2014-11-06,32
"7",2014-11-07,39
"8",2014-11-08,59
"9",2014-11-09,100
"10",2014-11-10,54
"11",2014-11-11,37
"12",2014-11-12,35
"13",2014-11-13,38
"14",2014-11-14,36
"15",2014-11-15,51
"16",2014-11-16,55
"17",2014-11-17,40
"18",2014-11-18,33
"19",2014-11-19,31
"20",2014-11-20,35
"21",2014-11-21,32
"22",2014-11-22,45
"23",2014-11-23,56
"24",2014-11-24,35
"25",2014-11-25,30
"26",2014-11-26,28
"27",2014-11-27,40
"28",2014-11-28,38
"29",2014-11-29,49
"30",2014-11-30,66
