"","start","X47.Ronin."
"1",2014-12-01,21
"2",2014-12-02,20
"3",2014-12-03,18
"4",2014-12-04,18
"5",2014-12-05,18
"6",2014-12-06,28
"7",2014-12-07,26
"8",2014-12-08,19
"9",2014-12-09,14
"10",2014-12-10,17
"11",2014-12-11,17
"12",2014-12-12,22
"13",2014-12-13,40
"14",2014-12-14,100
"15",2014-12-15,53
"16",2014-12-16,34
"17",2014-12-17,39
"18",2014-12-18,27
"19",2014-12-19,42
"20",2014-12-20,49
"21",2014-12-21,46
"22",2014-12-22,32
"23",2014-12-23,28
"24",2014-12-24,31
"25",2014-12-25,39
"26",2014-12-26,54
"27",2014-12-27,99
"28",2014-12-28,74
"29",2014-12-29,41
"30",2014-12-30,52
"31",2014-12-31,54
