"","start","Puli.Tamil.movie."
"1",2015-09-01,26
"2",2015-09-02,29
"3",2015-09-03,32
"4",2015-09-04,82
"5",2015-09-05,99
"6",2015-09-06,68
"7",2015-09-07,51
"8",2015-09-08,40
"9",2015-09-09,42
"10",2015-09-10,41
"11",2015-09-11,49
"12",2015-09-12,53
"13",2015-09-13,55
"14",2015-09-14,35
"15",2015-09-15,35
"16",2015-09-16,39
"17",2015-09-17,43
"18",2015-09-18,46
"19",2015-09-19,53
"20",2015-09-20,51
"21",2015-09-21,34
"22",2015-09-22,31
"23",2015-09-23,39
"24",2015-09-24,51
"25",2015-09-25,54
"26",2015-09-26,72
"27",2015-09-27,62
"28",2015-09-28,47
"29",2015-09-29,60
"30",2015-09-30,100
