"","start","Puli.Tamil.movie."
"1",2015-10-01,100
"2",2015-10-02,79
"3",2015-10-03,63
"4",2015-10-04,50
"5",2015-10-05,34
"6",2015-10-06,27
"7",2015-10-07,24
"8",2015-10-08,21
"9",2015-10-09,24
"10",2015-10-10,32
"11",2015-10-11,26
"12",2015-10-12,18
"13",2015-10-13,15
"14",2015-10-14,14
"15",2015-10-15,13
"16",2015-10-16,15
"17",2015-10-17,20
"18",2015-10-18,17
"19",2015-10-19,10
"20",2015-10-20,11
"21",2015-10-21,12
"22",2015-10-22,13
"23",2015-10-23,13
"24",2015-10-24,17
"25",2015-10-25,12
"26",2015-10-26,8
"27",2015-10-27,7
"28",2015-10-28,8
"29",2015-10-29,8
"30",2015-10-30,10
"31",2015-10-31,13
