"","start","Hasee.Toh.Phasee."
"1",2014-02-01,20
"2",2014-02-02,23
"3",2014-02-03,17
"4",2014-02-04,19
"5",2014-02-05,18
"6",2014-02-06,16
"7",2014-02-07,85
"8",2014-02-08,100
"9",2014-02-09,90
"10",2014-02-10,64
"11",2014-02-11,54
"12",2014-02-12,50
"13",2014-02-13,47
"14",2014-02-14,50
"15",2014-02-15,61
"16",2014-02-16,51
"17",2014-02-17,35
"18",2014-02-18,30
"19",2014-02-19,29
"20",2014-02-20,27
"21",2014-02-21,30
"22",2014-02-22,39
"23",2014-02-23,34
"24",2014-02-24,22
"25",2014-02-25,20
"26",2014-02-26,20
"27",2014-02-27,22
"28",2014-02-28,23
