"","start","Hasee.Toh.Phasee."
"1",2014-03-01,100
"2",2014-03-02,79
"3",2014-03-03,56
"4",2014-03-04,54
"5",2014-03-05,51
"6",2014-03-06,56
"7",2014-03-07,57
"8",2014-03-08,75
"9",2014-03-09,69
"10",2014-03-10,44
"11",2014-03-11,49
"12",2014-03-12,44
"13",2014-03-13,45
"14",2014-03-14,49
"15",2014-03-15,59
"16",2014-03-16,59
"17",2014-03-17,40
"18",2014-03-18,37
"19",2014-03-19,37
"20",2014-03-20,43
"21",2014-03-21,44
"22",2014-03-22,57
"23",2014-03-23,54
"24",2014-03-24,39
"25",2014-03-25,39
"26",2014-03-26,38
"27",2014-03-27,38
"28",2014-03-28,39
"29",2014-03-29,53
"30",2014-03-30,50
"31",2014-03-31,36
