"","start","Krrish.3."
"1",2013-10-01,33
"2",2013-10-02,37
"3",2013-10-03,34
"4",2013-10-04,37
"5",2013-10-05,42
"6",2013-10-06,40
"7",2013-10-07,32
"8",2013-10-08,32
"9",2013-10-09,33
"10",2013-10-10,34
"11",2013-10-11,37
"12",2013-10-12,44
"13",2013-10-13,40
"14",2013-10-14,33
"15",2013-10-15,36
"16",2013-10-16,36
"17",2013-10-17,41
"18",2013-10-18,42
"19",2013-10-19,46
"20",2013-10-20,47
"21",2013-10-21,38
"22",2013-10-22,38
"23",2013-10-23,37
"24",2013-10-24,42
"25",2013-10-25,47
"26",2013-10-26,59
"27",2013-10-27,61
"28",2013-10-28,51
"29",2013-10-29,53
"30",2013-10-30,57
"31",2013-10-31,100
