"","start","Dragon.Blade."
"1",2015-04-01,65
"2",2015-04-02,59
"3",2015-04-03,54
"4",2015-04-04,57
"5",2015-04-05,53
"6",2015-04-06,40
"7",2015-04-07,31
"8",2015-04-08,34
"9",2015-04-09,30
"10",2015-04-10,34
"11",2015-04-11,47
"12",2015-04-12,43
"13",2015-04-13,27
"14",2015-04-14,32
"15",2015-04-15,51
"16",2015-04-16,88
"17",2015-04-17,85
"18",2015-04-18,100
"19",2015-04-19,93
"20",2015-04-20,55
"21",2015-04-21,48
"22",2015-04-22,41
"23",2015-04-23,43
"24",2015-04-24,44
"25",2015-04-25,59
"26",2015-04-26,62
"27",2015-04-27,42
"28",2015-04-28,43
"29",2015-04-29,39
"30",2015-04-30,43
