"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","I have #terribleneighbors.Same war movie again. Volume maxed, sounds like D-day down here. I'm not trained to sleep in combat zones #jerks",FALSE,1,NA,2016-04-08 03:43:59,FALSE,NA,"718283221335728129",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","h3llbab3",0,FALSE,FALSE,NA,NA
"2","Many happy returns of d day #Bunny Anna...dont think u should need best luck fo ur upcoming movie #sarainodu still best luck @alluarjun",FALSE,1,NA,2016-04-08 02:34:46,FALSE,NA,"718265803297189889",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","YashPaygude",0,FALSE,FALSE,NA,NA
"3","@RGVzoomin many more happie returns of d day to man of sensational movie and tweets. :)",FALSE,1,"RGVzoomin",2016-04-07 07:42:03,FALSE,"717966732615241729","717980744908349441","43017766","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MaheshGandham4",0,FALSE,FALSE,NA,NA
"4","D-Day Korean Horror Movie DVD R:0 NEW Eun-Seong Jin-yong Heo My Bloody Roommates https://t.co/xSbLsZldG1 https://t.co/UcJoP4isCC",FALSE,0,NA,2016-04-07 05:09:55,FALSE,NA,"717942457179250688",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","clodoveon",0,FALSE,FALSE,NA,NA
"5","@CircaDrew a bunch of guys I was in the army with played roles in a movie based on D day. Was a beach in Ontario",FALSE,1,"CircaDrew",2016-04-07 00:42:42,FALSE,"717874643798003713","717875212671430656","2353985840","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheFirstHavoc",0,FALSE,FALSE,NA,NA
"6","began their first solo concert tour, ""D-Day,"" on November 20 and 21, 2015 at Seoul's Yes24 Movie Hall. https://t.co/clvd5ku4Wn",FALSE,0,"haeheartzxc",2016-04-05 09:55:27,FALSE,"717289294277189632","717289537597079553","1552870584","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","haeheartzxc",0,FALSE,FALSE,NA,NA
"7","#4 - Day6 began their first solo concert tour, ""D-Day,"" on November 20 and 21, 2015 at Seoul's Yes24 Movie Hall.",FALSE,5,"haesolo",2016-04-04 21:25:24,FALSE,"717099029646221314","717100784580689920","4247254339","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","haesolo",3,FALSE,FALSE,NA,NA
"8","@yghateswinner wAIT IS D-DAY A SCARY MOVIE",FALSE,0,"yghateswinner",2016-04-04 21:14:07,FALSE,"717097421826822144","717097942230892545","340260151","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","maetamongist",0,FALSE,FALSE,NA,NA
"9","@blankmarks But I loved him in the movie. AWESOME. Up there with Rauf Lala (Agneepath) &amp; Dawood in (D-Day)",FALSE,0,"blankmarks",2016-04-04 18:55:10,FALSE,"717061436044738562","717062975262097408","131509898","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Times_Of_Uday",0,FALSE,FALSE,NA,NA
"10","@Siva_Kartikeyan Still cant forget d day I watched MK n theatre Anna! The very 1st movie which I enjoyed to CORRREEE! #2YearsOfMaanKarate",FALSE,0,"Siva_Kartikeyan",2016-04-04 13:44:27,FALSE,NA,"716984782232510465","394129778","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SuryaPriyaT",2,FALSE,FALSE,NA,NA
"11","d-day gone be a movie<ed><U+00A0><U+00BD><ed><U+00B4><U+009E>",FALSE,0,NA,2016-04-03 15:57:34,FALSE,NA,"716655891542622210",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dee5150_",0,FALSE,FALSE,NA,NA
"12","@RajjatBarjatya seeing @Vivah_movie  today on my B'day n remembrin d day 10yrs back wen I saw this movie in same condition Poonam was in end",FALSE,0,"RajjatBarjatya",2016-04-03 11:19:59,FALSE,NA,"716586038911610880","58814277","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pragyaprasun",0,FALSE,FALSE,NA,NA
"13","@rajshrifilms seeing @Vivah_movie  today on my B'day n remembrin d day 10yrs back wen I saw this movie in same condition Poonam was in end..",FALSE,0,"rajshrifilms",2016-04-03 11:19:12,FALSE,NA,"716585839447310337","1229113262","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pragyaprasun",0,FALSE,FALSE,NA,NA
"14","@SoorajBarjatya seeing @Vivah_movie  today on my B'day n remembrin d day 10yrs back wen I saw this movie in same condition Poonam was in end",FALSE,0,"SoorajBarjatya",2016-04-03 11:18:38,FALSE,NA,"716585698757713921","1479026370","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pragyaprasun",0,FALSE,FALSE,NA,NA
"15","@rajshri seeing @Vivah_movie  today on my B'day n remembrin d day 10yrs back wen I saw this movie in same condition Poonam was in end...",FALSE,0,"rajshri",2016-04-03 11:17:03,FALSE,NA,"716585298038095872","1133436522","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pragyaprasun",0,FALSE,FALSE,NA,NA
"16","@kavitabarjatya seeing @Vivah_movie  today on my B'day n remembrin d day 10yrs back wen I saw this movie in same condition Poonam was in end",FALSE,0,"kavitabarjatya",2016-04-03 11:13:49,FALSE,NA,"716584483722362881","135212645","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pragyaprasun",0,FALSE,FALSE,NA,NA
"17","The Longest Day VHS B&amp;W #movie WWII D-Day 50th Anniversary John Wayne 2 Tapes NIB https://t.co/o6lEjRtUxr https://t.co/WMOa5twwZ3",FALSE,0,NA,2016-04-02 21:11:10,FALSE,NA,"716372425827454976",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","AntionetteLand5",0,FALSE,FALSE,NA,NA
"18","@Bakkiyaraj_k sir once again many more happy returns of d day hv a awesome year ahead tqqq so much 4 gng an awesome movie#HBDBhakkiBySKians",FALSE,0,"Bakkiyaraj_k",2016-04-02 12:57:21,FALSE,NA,"716248151150043136","3263133602","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","swetharavi1707",0,FALSE,FALSE,NA,NA
"19","The IMAX movie D-Day @airandspace is awesome, emotional, and informative. #DC #vacation",FALSE,0,NA,2016-04-01 18:38:51,FALSE,NA,"715971706242859009",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","maryruthless",0,FALSE,FALSE,NA,NA
"20","""The two most important days in your life are d day you are born &amp;the day you find out why.""

BOTH MOVIE AND TELESERYE FOR JOCHARD PLEASE",FALSE,3,NA,2016-04-01 10:07:14,FALSE,NA,"715842952933806080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TimLovesIskay",7,FALSE,FALSE,NA,NA
