"","start","Iron.Man.3."
"1",2013-05-01,58
"2",2013-05-02,53
"3",2013-05-03,78
"4",2013-05-04,100
"5",2013-05-05,91
"6",2013-05-06,57
"7",2013-05-07,41
"8",2013-05-08,38
"9",2013-05-09,36
"10",2013-05-10,39
"11",2013-05-11,54
"12",2013-05-12,51
"13",2013-05-13,32
"14",2013-05-14,26
"15",2013-05-15,25
"16",2013-05-16,23
"17",2013-05-17,26
"18",2013-05-18,35
"19",2013-05-19,35
"20",2013-05-20,23
"21",2013-05-21,18
"22",2013-05-22,17
"23",2013-05-23,17
"24",2013-05-24,20
"25",2013-05-25,26
"26",2013-05-26,26
"27",2013-05-27,19
"28",2013-05-28,15
"29",2013-05-29,14
"30",2013-05-30,15
"31",2013-05-31,16
