"","start","Tevar.movie."
"1",2014-11-01,0
"2",2014-11-02,0
"3",2014-11-03,1
"4",2014-11-04,1
"5",2014-11-05,0
"6",2014-11-06,0
"7",2014-11-07,0
"8",2014-11-08,1
"9",2014-11-09,0
"10",2014-11-10,3
"11",2014-11-11,4
"12",2014-11-12,3
"13",2014-11-13,2
"14",2014-11-14,2
"15",2014-11-15,2
"16",2014-11-16,5
"17",2014-11-17,5
"18",2014-11-18,5
"19",2014-11-19,3
"20",2014-11-20,4
"21",2014-11-21,4
"22",2014-11-22,5
"23",2014-11-23,5
"24",2014-11-24,5
"25",2014-11-25,6
"26",2014-11-26,7
"27",2014-11-27,7
"28",2014-11-28,8
"29",2014-11-29,9
"30",2014-11-30,9
"31",2014-12-01,7
"32",2014-12-02,8
"33",2014-12-03,8
"34",2014-12-04,9
"35",2014-12-05,9
"36",2014-12-06,11
"37",2014-12-07,11
"38",2014-12-08,9
"39",2014-12-09,9
"40",2014-12-10,8
"41",2014-12-11,9
"42",2014-12-12,8
"43",2014-12-13,11
"44",2014-12-14,11
"45",2014-12-15,8
"46",2014-12-16,9
"47",2014-12-17,9
"48",2014-12-18,10
"49",2014-12-19,11
"50",2014-12-20,13
"51",2014-12-21,12
"52",2014-12-22,12
"53",2014-12-23,12
"54",2014-12-24,12
"55",2014-12-25,15
"56",2014-12-26,14
"57",2014-12-27,14
"58",2014-12-28,13
"59",2014-12-29,12
"60",2014-12-30,13
"61",2014-12-31,15
"62",2015-01-01,18
"63",2015-01-02,17
"64",2015-01-03,19
"65",2015-01-04,18
"66",2015-01-05,17
"67",2015-01-06,17
"68",2015-01-07,17
"69",2015-01-08,22
"70",2015-01-09,78
"71",2015-01-10,100
"72",2015-01-11,91
"73",2015-01-12,64
"74",2015-01-13,55
"75",2015-01-14,49
"76",2015-01-15,46
"77",2015-01-16,43
"78",2015-01-17,50
"79",2015-01-18,43
"80",2015-01-19,29
"81",2015-01-20,26
"82",2015-01-21,26
"83",2015-01-22,24
"84",2015-01-23,24
"85",2015-01-24,26
"86",2015-01-25,22
"87",2015-01-26,15
"88",2015-01-27,13
"89",2015-01-28,12
"90",2015-01-29,13
"91",2015-01-30,13
"92",2015-01-31,16
