"","start","Tevar.movie."
"1",2015-01-01,18
"2",2015-01-02,18
"3",2015-01-03,18
"4",2015-01-04,19
"5",2015-01-05,16
"6",2015-01-06,16
"7",2015-01-07,18
"8",2015-01-08,23
"9",2015-01-09,79
"10",2015-01-10,100
"11",2015-01-11,90
"12",2015-01-12,64
"13",2015-01-13,55
"14",2015-01-14,50
"15",2015-01-15,45
"16",2015-01-16,45
"17",2015-01-17,50
"18",2015-01-18,43
"19",2015-01-19,29
"20",2015-01-20,26
"21",2015-01-21,25
"22",2015-01-22,25
"23",2015-01-23,24
"24",2015-01-24,26
"25",2015-01-25,22
"26",2015-01-26,15
"27",2015-01-27,13
"28",2015-01-28,12
"29",2015-01-29,12
"30",2015-01-30,12
"31",2015-01-31,16
