"","start","Tevar.movie."
"1",2015-02-01,100
"2",2015-02-02,63
"3",2015-02-03,66
"4",2015-02-04,62
"5",2015-02-05,60
"6",2015-02-06,69
"7",2015-02-07,90
"8",2015-02-08,74
"9",2015-02-09,51
"10",2015-02-10,52
"11",2015-02-11,44
"12",2015-02-12,52
"13",2015-02-13,48
"14",2015-02-14,61
"15",2015-02-15,53
"16",2015-02-16,49
"17",2015-02-17,51
"18",2015-02-18,41
"19",2015-02-19,46
"20",2015-02-20,45
"21",2015-02-21,59
"22",2015-02-22,48
"23",2015-02-23,33
"24",2015-02-24,39
"25",2015-02-25,34
"26",2015-02-26,34
"27",2015-02-27,36
"28",2015-02-28,44
