"","start","Jazbaa."
"1",2015-08-01,2
"2",2015-08-02,2
"3",2015-08-03,3
"4",2015-08-04,3
"5",2015-08-05,2
"6",2015-08-06,2
"7",2015-08-07,2
"8",2015-08-08,2
"9",2015-08-09,2
"10",2015-08-10,2
"11",2015-08-11,2
"12",2015-08-12,2
"13",2015-08-13,2
"14",2015-08-14,2
"15",2015-08-15,11
"16",2015-08-16,14
"17",2015-08-17,11
"18",2015-08-18,6
"19",2015-08-19,4
"20",2015-08-20,4
"21",2015-08-21,4
"22",2015-08-22,4
"23",2015-08-23,4
"24",2015-08-24,5
"25",2015-08-25,73
"26",2015-08-26,81
"27",2015-08-27,41
"28",2015-08-28,25
"29",2015-08-29,21
"30",2015-08-30,21
"31",2015-08-31,14
"32",2015-09-01,11
"33",2015-09-02,10
"34",2015-09-03,11
"35",2015-09-04,13
"36",2015-09-05,14
"37",2015-09-06,15
"38",2015-09-07,13
"39",2015-09-08,32
"40",2015-09-09,36
"41",2015-09-10,32
"42",2015-09-11,31
"43",2015-09-12,40
"44",2015-09-13,44
"45",2015-09-14,41
"46",2015-09-15,40
"47",2015-09-16,46
"48",2015-09-17,44
"49",2015-09-18,48
"50",2015-09-19,56
"51",2015-09-20,67
"52",2015-09-21,62
"53",2015-09-22,76
"54",2015-09-23,62
"55",2015-09-24,62
"56",2015-09-25,79
"57",2015-09-26,100
"58",2015-09-27,88
"59",2015-09-28,71
"60",2015-09-29,85
"61",2015-09-30,91
