"","start","Jazbaa."
"1",2015-11-01,100
"2",2015-11-02,67
"3",2015-11-03,64
"4",2015-11-04,61
"5",2015-11-05,59
"6",2015-11-06,64
"7",2015-11-07,72
"8",2015-11-08,65
"9",2015-11-09,50
"10",2015-11-10,50
"11",2015-11-11,49
"12",2015-11-12,47
"13",2015-11-13,55
"14",2015-11-14,62
"15",2015-11-15,56
"16",2015-11-16,39
"17",2015-11-17,45
"18",2015-11-18,40
"19",2015-11-19,42
"20",2015-11-20,49
"21",2015-11-21,56
"22",2015-11-22,49
"23",2015-11-23,35
"24",2015-11-24,37
"25",2015-11-25,33
"26",2015-11-26,36
"27",2015-11-27,41
"28",2015-11-28,48
"29",2015-11-29,51
"30",2015-11-30,33
