"","start","Humshakals."
"1",2014-08-01,60
"2",2014-08-02,79
"3",2014-08-03,78
"4",2014-08-04,54
"5",2014-08-05,55
"6",2014-08-06,50
"7",2014-08-07,53
"8",2014-08-08,68
"9",2014-08-09,78
"10",2014-08-10,71
"11",2014-08-11,50
"12",2014-08-12,45
"13",2014-08-13,42
"14",2014-08-14,46
"15",2014-08-15,51
"16",2014-08-16,61
"17",2014-08-17,62
"18",2014-08-18,45
"19",2014-08-19,45
"20",2014-08-20,44
"21",2014-08-21,45
"22",2014-08-22,48
"23",2014-08-23,57
"24",2014-08-24,62
"25",2014-08-25,40
"26",2014-08-26,37
"27",2014-08-27,42
"28",2014-08-28,42
"29",2014-08-29,48
"30",2014-08-30,100
"31",2014-08-31,91
