"","start","Humshakals."
"1",2014-06-01,13
"2",2014-06-02,10
"3",2014-06-03,10
"4",2014-06-04,10
"5",2014-06-05,11
"6",2014-06-06,12
"7",2014-06-07,15
"8",2014-06-08,15
"9",2014-06-09,12
"10",2014-06-10,11
"11",2014-06-11,12
"12",2014-06-12,13
"13",2014-06-13,14
"14",2014-06-14,21
"15",2014-06-15,27
"16",2014-06-16,20
"17",2014-06-17,18
"18",2014-06-18,20
"19",2014-06-19,27
"20",2014-06-20,89
"21",2014-06-21,100
"22",2014-06-22,78
"23",2014-06-23,57
"24",2014-06-24,47
"25",2014-06-25,40
"26",2014-06-26,35
"27",2014-06-27,36
"28",2014-06-28,37
"29",2014-06-29,31
"30",2014-06-30,20
