"","start","Humshakals."
"1",2014-04-01,0
"2",2014-04-02,1
"3",2014-04-03,1
"4",2014-04-04,1
"5",2014-04-05,1
"6",2014-04-06,1
"7",2014-04-07,0
"8",2014-04-08,1
"9",2014-04-09,1
"10",2014-04-10,1
"11",2014-04-11,1
"12",2014-04-12,1
"13",2014-04-13,1
"14",2014-04-14,1
"15",2014-04-15,1
"16",2014-04-16,1
"17",2014-04-17,1
"18",2014-04-18,1
"19",2014-04-19,1
"20",2014-04-20,1
"21",2014-04-21,2
"22",2014-04-22,1
"23",2014-04-23,1
"24",2014-04-24,2
"25",2014-04-25,1
"26",2014-04-26,1
"27",2014-04-27,1
"28",2014-04-28,3
"29",2014-04-29,4
"30",2014-04-30,22
"31",2014-05-01,24
"32",2014-05-02,18
"33",2014-05-03,14
"34",2014-05-04,11
"35",2014-05-05,9
"36",2014-05-06,8
"37",2014-05-07,6
"38",2014-05-08,13
"39",2014-05-09,20
"40",2014-05-10,32
"41",2014-05-11,46
"42",2014-05-12,46
"43",2014-05-13,47
"44",2014-05-14,52
"45",2014-05-15,64
"46",2014-05-16,58
"47",2014-05-17,82
"48",2014-05-18,77
"49",2014-05-19,65
"50",2014-05-20,68
"51",2014-05-21,77
"52",2014-05-22,74
"53",2014-05-23,86
"54",2014-05-24,100
"55",2014-05-25,93
"56",2014-05-26,81
"57",2014-05-27,73
"58",2014-05-28,73
"59",2014-05-29,76
"60",2014-05-30,74
"61",2014-05-31,89
