"","start","Godzilla."
"1",2014-05-01,11
"2",2014-05-02,11
"3",2014-05-03,13
"4",2014-05-04,13
"5",2014-05-05,11
"6",2014-05-06,12
"7",2014-05-07,12
"8",2014-05-08,13
"9",2014-05-09,15
"10",2014-05-10,18
"11",2014-05-11,23
"12",2014-05-12,22
"13",2014-05-13,25
"14",2014-05-14,29
"15",2014-05-15,47
"16",2014-05-16,81
"17",2014-05-17,100
"18",2014-05-18,88
"19",2014-05-19,57
"20",2014-05-20,42
"21",2014-05-21,35
"22",2014-05-22,31
"23",2014-05-23,33
"24",2014-05-24,39
"25",2014-05-25,37
"26",2014-05-26,26
"27",2014-05-27,20
"28",2014-05-28,18
"29",2014-05-29,18
"30",2014-05-30,17
"31",2014-05-31,22
