"","start","Godzilla."
"1",2014-06-01,100
"2",2014-06-02,64
"3",2014-06-03,58
"4",2014-06-04,55
"5",2014-06-05,51
"6",2014-06-06,55
"7",2014-06-07,70
"8",2014-06-08,73
"9",2014-06-09,49
"10",2014-06-10,40
"11",2014-06-11,39
"12",2014-06-12,36
"13",2014-06-13,40
"14",2014-06-14,51
"15",2014-06-15,57
"16",2014-06-16,36
"17",2014-06-17,34
"18",2014-06-18,34
"19",2014-06-19,37
"20",2014-06-20,37
"21",2014-06-21,48
"22",2014-06-22,48
"23",2014-06-23,34
"24",2014-06-24,32
"25",2014-06-25,30
"26",2014-06-26,30
"27",2014-06-27,33
"28",2014-06-28,41
"29",2014-06-29,42
"30",2014-06-30,28
