"","start","Jurassic.World."
"1",2015-06-01,9
"2",2015-06-02,8
"3",2015-06-03,9
"4",2015-06-04,10
"5",2015-06-05,12
"6",2015-06-06,16
"7",2015-06-07,18
"8",2015-06-08,16
"9",2015-06-09,19
"10",2015-06-10,30
"11",2015-06-11,44
"12",2015-06-12,76
"13",2015-06-13,100
"14",2015-06-14,100
"15",2015-06-15,67
"16",2015-06-16,51
"17",2015-06-17,46
"18",2015-06-18,41
"19",2015-06-19,44
"20",2015-06-20,59
"21",2015-06-21,59
"22",2015-06-22,38
"23",2015-06-23,30
"24",2015-06-24,28
"25",2015-06-25,25
"26",2015-06-26,26
"27",2015-06-27,35
"28",2015-06-28,37
"29",2015-06-29,23
"30",2015-06-30,19
