"","start","Bewakoofiyaan."
"1",2014-03-01,10
"2",2014-03-02,8
"3",2014-03-03,7
"4",2014-03-04,7
"5",2014-03-05,10
"6",2014-03-06,10
"7",2014-03-07,11
"8",2014-03-08,11
"9",2014-03-09,10
"10",2014-03-10,10
"11",2014-03-11,10
"12",2014-03-12,12
"13",2014-03-13,18
"14",2014-03-14,75
"15",2014-03-15,100
"16",2014-03-16,79
"17",2014-03-17,54
"18",2014-03-18,44
"19",2014-03-19,36
"20",2014-03-20,32
"21",2014-03-21,28
"22",2014-03-22,33
"23",2014-03-23,23
"24",2014-03-24,17
"25",2014-03-25,14
"26",2014-03-26,14
"27",2014-03-27,14
"28",2014-03-28,21
"29",2014-03-29,26
"30",2014-03-30,22
"31",2014-03-31,15
