"","start","D.Day."
"1",2013-08-01,69
"2",2013-08-02,74
"3",2013-08-03,100
"4",2013-08-04,91
"5",2013-08-05,71
"6",2013-08-06,67
"7",2013-08-07,58
"8",2013-08-08,61
"9",2013-08-09,64
"10",2013-08-10,85
"11",2013-08-11,67
"12",2013-08-12,60
"13",2013-08-13,52
"14",2013-08-14,55
"15",2013-08-15,56
"16",2013-08-16,55
"17",2013-08-17,57
"18",2013-08-18,63
"19",2013-08-19,49
"20",2013-08-20,50
"21",2013-08-21,40
"22",2013-08-22,46
"23",2013-08-23,60
"24",2013-08-24,82
"25",2013-08-25,80
"26",2013-08-26,59
"27",2013-08-27,49
"28",2013-08-28,47
"29",2013-08-29,48
"30",2013-08-30,53
"31",2013-08-31,69
