"","start","Gabbar.Is.Back."
"1",2015-10-01,68
"2",2015-10-02,71
"3",2015-10-03,84
"4",2015-10-04,81
"5",2015-10-05,46
"6",2015-10-06,53
"7",2015-10-07,54
"8",2015-10-08,52
"9",2015-10-09,58
"10",2015-10-10,86
"11",2015-10-11,75
"12",2015-10-12,53
"13",2015-10-13,53
"14",2015-10-14,47
"15",2015-10-15,51
"16",2015-10-16,56
"17",2015-10-17,68
"18",2015-10-18,100
"19",2015-10-19,55
"20",2015-10-20,54
"21",2015-10-21,54
"22",2015-10-22,51
"23",2015-10-23,59
"24",2015-10-24,74
"25",2015-10-25,75
"26",2015-10-26,51
"27",2015-10-27,50
"28",2015-10-28,46
"29",2015-10-29,48
"30",2015-10-30,53
"31",2015-10-31,63
