"","start","Humpty.Sharma.Ki.Dulhania."
"1",2014-08-01,79
"2",2014-08-02,100
"3",2014-08-03,92
"4",2014-08-04,62
"5",2014-08-05,60
"6",2014-08-06,58
"7",2014-08-07,58
"8",2014-08-08,61
"9",2014-08-09,81
"10",2014-08-10,72
"11",2014-08-11,51
"12",2014-08-12,45
"13",2014-08-13,48
"14",2014-08-14,51
"15",2014-08-15,55
"16",2014-08-16,60
"17",2014-08-17,58
"18",2014-08-18,43
"19",2014-08-19,40
"20",2014-08-20,43
"21",2014-08-21,48
"22",2014-08-22,50
"23",2014-08-23,67
"24",2014-08-24,64
"25",2014-08-25,42
"26",2014-08-26,43
"27",2014-08-27,39
"28",2014-08-28,42
"29",2014-08-29,44
"30",2014-08-30,52
"31",2014-08-31,48
