"","start","Humpty.Sharma.Ki.Dulhania."
"1",2014-07-01,12
"2",2014-07-02,14
"3",2014-07-03,14
"4",2014-07-04,17
"5",2014-07-05,22
"6",2014-07-06,24
"7",2014-07-07,17
"8",2014-07-08,18
"9",2014-07-09,19
"10",2014-07-10,26
"11",2014-07-11,76
"12",2014-07-12,100
"13",2014-07-13,89
"14",2014-07-14,62
"15",2014-07-15,52
"16",2014-07-16,49
"17",2014-07-17,45
"18",2014-07-18,45
"19",2014-07-19,56
"20",2014-07-20,48
"21",2014-07-21,31
"22",2014-07-22,28
"23",2014-07-23,27
"24",2014-07-24,26
"25",2014-07-25,27
"26",2014-07-26,34
"27",2014-07-27,30
"28",2014-07-28,23
"29",2014-07-29,23
"30",2014-07-30,21
"31",2014-07-31,21
