"","start","Hamari.Adhuri.Kahani."
"1",2015-07-01,80
"2",2015-07-02,86
"3",2015-07-03,84
"4",2015-07-04,100
"5",2015-07-05,95
"6",2015-07-06,72
"7",2015-07-07,69
"8",2015-07-08,66
"9",2015-07-09,69
"10",2015-07-10,65
"11",2015-07-11,83
"12",2015-07-12,82
"13",2015-07-13,55
"14",2015-07-14,53
"15",2015-07-15,54
"16",2015-07-16,53
"17",2015-07-17,57
"18",2015-07-18,75
"19",2015-07-19,75
"20",2015-07-20,53
"21",2015-07-21,54
"22",2015-07-22,59
"23",2015-07-23,57
"24",2015-07-24,56
"25",2015-07-25,70
"26",2015-07-26,68
"27",2015-07-27,51
"28",2015-07-28,49
"29",2015-07-29,52
"30",2015-07-30,56
"31",2015-07-31,55
