"","start","A.Good.Day.To.Die.Hard."
"1",2013-03-01,74
"2",2013-03-02,100
"3",2013-03-03,100
"4",2013-03-04,56
"5",2013-03-05,50
"6",2013-03-06,56
"7",2013-03-07,50
"8",2013-03-08,55
"9",2013-03-09,73
"10",2013-03-10,70
"11",2013-03-11,43
"12",2013-03-12,42
"13",2013-03-13,40
"14",2013-03-14,42
"15",2013-03-15,47
"16",2013-03-16,71
"17",2013-03-17,65
"18",2013-03-18,42
"19",2013-03-19,43
"20",2013-03-20,40
"21",2013-03-21,44
"22",2013-03-22,45
"23",2013-03-23,63
"24",2013-03-24,58
"25",2013-03-25,39
"26",2013-03-26,35
"27",2013-03-27,38
"28",2013-03-28,38
"29",2013-03-29,48
"30",2013-03-30,49
"31",2013-03-31,50
