"","start","A.Good.Day.To.Die.Hard."
"1",2013-02-01,16
"2",2013-02-02,14
"3",2013-02-03,15
"4",2013-02-04,15
"5",2013-02-05,20
"6",2013-02-06,24
"7",2013-02-07,29
"8",2013-02-08,32
"9",2013-02-09,33
"10",2013-02-10,39
"11",2013-02-11,36
"12",2013-02-12,38
"13",2013-02-13,46
"14",2013-02-14,92
"15",2013-02-15,91
"16",2013-02-16,100
"17",2013-02-17,92
"18",2013-02-18,63
"19",2013-02-19,43
"20",2013-02-20,41
"21",2013-02-21,41
"22",2013-02-22,54
"23",2013-02-23,64
"24",2013-02-24,55
"25",2013-02-25,32
"26",2013-02-26,27
"27",2013-02-27,27
"28",2013-02-28,23
