"","start","X300.Rise.of.an.Empire."
"1",2014-03-01,16
"2",2014-03-02,18
"3",2014-03-03,19
"4",2014-03-04,21
"5",2014-03-05,24
"6",2014-03-06,40
"7",2014-03-07,77
"8",2014-03-08,100
"9",2014-03-09,98
"10",2014-03-10,65
"11",2014-03-11,46
"12",2014-03-12,41
"13",2014-03-13,38
"14",2014-03-14,40
"15",2014-03-15,53
"16",2014-03-16,50
"17",2014-03-17,31
"18",2014-03-18,25
"19",2014-03-19,24
"20",2014-03-20,23
"21",2014-03-21,24
"22",2014-03-22,37
"23",2014-03-23,42
"24",2014-03-24,28
"25",2014-03-25,24
"26",2014-03-26,24
"27",2014-03-27,21
"28",2014-03-28,24
"29",2014-03-29,31
"30",2014-03-30,28
"31",2014-03-31,18
