"","start","X300.Rise.of.an.Empire."
"1",2014-04-01,69
"2",2014-04-02,69
"3",2014-04-03,64
"4",2014-04-04,73
"5",2014-04-05,100
"6",2014-04-06,95
"7",2014-04-07,60
"8",2014-04-08,52
"9",2014-04-09,51
"10",2014-04-10,51
"11",2014-04-11,54
"12",2014-04-12,70
"13",2014-04-13,70
"14",2014-04-14,47
"15",2014-04-15,42
"16",2014-04-16,43
"17",2014-04-17,45
"18",2014-04-18,56
"19",2014-04-19,65
"20",2014-04-20,65
"21",2014-04-21,46
"22",2014-04-22,35
"23",2014-04-23,34
"24",2014-04-24,33
"25",2014-04-25,38
"26",2014-04-26,56
"27",2014-04-27,52
"28",2014-04-28,33
"29",2014-04-29,29
"30",2014-04-30,30
