"","start","Everest."
"1",2015-10-01,66
"2",2015-10-02,72
"3",2015-10-03,100
"4",2015-10-04,92
"5",2015-10-05,59
"6",2015-10-06,53
"7",2015-10-07,51
"8",2015-10-08,48
"9",2015-10-09,54
"10",2015-10-10,72
"11",2015-10-11,69
"12",2015-10-12,51
"13",2015-10-13,43
"14",2015-10-14,41
"15",2015-10-15,38
"16",2015-10-16,42
"17",2015-10-17,51
"18",2015-10-18,51
"19",2015-10-19,36
"20",2015-10-20,33
"21",2015-10-21,32
"22",2015-10-22,36
"23",2015-10-23,51
"24",2015-10-24,68
"25",2015-10-25,68
"26",2015-10-26,47
"27",2015-10-27,41
"28",2015-10-28,38
"29",2015-10-29,37
"30",2015-10-30,39
"31",2015-10-31,47
