"","start","I..Hindi.."
"1",2015-02-01,98
"2",2015-02-02,80
"3",2015-02-03,83
"4",2015-02-04,84
"5",2015-02-05,83
"6",2015-02-06,86
"7",2015-02-07,100
"8",2015-02-08,94
"9",2015-02-09,76
"10",2015-02-10,72
"11",2015-02-11,73
"12",2015-02-12,72
"13",2015-02-13,78
"14",2015-02-14,85
"15",2015-02-15,78
"16",2015-02-16,70
"17",2015-02-17,74
"18",2015-02-18,70
"19",2015-02-19,73
"20",2015-02-20,71
"21",2015-02-21,75
"22",2015-02-22,72
"23",2015-02-23,63
"24",2015-02-24,63
"25",2015-02-25,66
"26",2015-02-26,65
"27",2015-02-27,66
"28",2015-02-28,73
