"","start","Brothers."
"1",2015-09-01,83
"2",2015-09-02,87
"3",2015-09-03,87
"4",2015-09-04,91
"5",2015-09-05,100
"6",2015-09-06,98
"7",2015-09-07,90
"8",2015-09-08,81
"9",2015-09-09,81
"10",2015-09-10,80
"11",2015-09-11,86
"12",2015-09-12,96
"13",2015-09-13,92
"14",2015-09-14,81
"15",2015-09-15,81
"16",2015-09-16,77
"17",2015-09-17,77
"18",2015-09-18,82
"19",2015-09-19,89
"20",2015-09-20,85
"21",2015-09-21,77
"22",2015-09-22,77
"23",2015-09-23,77
"24",2015-09-24,77
"25",2015-09-25,81
"26",2015-09-26,88
"27",2015-09-27,84
"28",2015-09-28,71
"29",2015-09-29,74
"30",2015-09-30,74
