"","start","Brothers."
"1",2015-06-01,37
"2",2015-06-02,37
"3",2015-06-03,37
"4",2015-06-04,39
"5",2015-06-05,40
"6",2015-06-06,43
"7",2015-06-07,44
"8",2015-06-08,39
"9",2015-06-09,39
"10",2015-06-10,45
"11",2015-06-11,44
"12",2015-06-12,43
"13",2015-06-13,45
"14",2015-06-14,44
"15",2015-06-15,40
"16",2015-06-16,39
"17",2015-06-17,40
"18",2015-06-18,40
"19",2015-06-19,42
"20",2015-06-20,49
"21",2015-06-21,45
"22",2015-06-22,40
"23",2015-06-23,39
"24",2015-06-24,40
"25",2015-06-25,41
"26",2015-06-26,41
"27",2015-06-27,44
"28",2015-06-28,48
"29",2015-06-29,42
"30",2015-06-30,39
"31",2015-07-01,40
"32",2015-07-02,40
"33",2015-07-03,40
"34",2015-07-04,45
"35",2015-07-05,45
"36",2015-07-06,41
"37",2015-07-07,42
"38",2015-07-08,43
"39",2015-07-09,44
"40",2015-07-10,45
"41",2015-07-11,47
"42",2015-07-12,47
"43",2015-07-13,43
"44",2015-07-14,46
"45",2015-07-15,42
"46",2015-07-16,43
"47",2015-07-17,45
"48",2015-07-18,48
"49",2015-07-19,51
"50",2015-07-20,42
"51",2015-07-21,42
"52",2015-07-22,43
"53",2015-07-23,44
"54",2015-07-24,47
"55",2015-07-25,49
"56",2015-07-26,50
"57",2015-07-27,45
"58",2015-07-28,45
"59",2015-07-29,47
"60",2015-07-30,46
"61",2015-07-31,47
"62",2015-08-01,51
"63",2015-08-02,53
"64",2015-08-03,46
"65",2015-08-04,45
"66",2015-08-05,46
"67",2015-08-06,47
"68",2015-08-07,48
"69",2015-08-08,52
"70",2015-08-09,52
"71",2015-08-10,45
"72",2015-08-11,45
"73",2015-08-12,46
"74",2015-08-13,52
"75",2015-08-14,84
"76",2015-08-15,100
"77",2015-08-16,92
"78",2015-08-17,72
"79",2015-08-18,65
"80",2015-08-19,61
"81",2015-08-20,60
"82",2015-08-21,63
"83",2015-08-22,67
"84",2015-08-23,64
"85",2015-08-24,49
"86",2015-08-25,48
"87",2015-08-26,48
"88",2015-08-27,50
"89",2015-08-28,58
"90",2015-08-29,61
"91",2015-08-30,59
"92",2015-08-31,46
