"","start","Action.Jackson."
"1",2014-10-01,2
"2",2014-10-02,3
"3",2014-10-03,4
"4",2014-10-04,4
"5",2014-10-05,3
"6",2014-10-06,3
"7",2014-10-07,3
"8",2014-10-08,3
"9",2014-10-09,4
"10",2014-10-10,4
"11",2014-10-11,5
"12",2014-10-12,4
"13",2014-10-13,3
"14",2014-10-14,3
"15",2014-10-15,4
"16",2014-10-16,4
"17",2014-10-17,3
"18",2014-10-18,4
"19",2014-10-19,5
"20",2014-10-20,5
"21",2014-10-21,9
"22",2014-10-22,50
"23",2014-10-23,32
"24",2014-10-24,28
"25",2014-10-25,28
"26",2014-10-26,22
"27",2014-10-27,21
"28",2014-10-28,21
"29",2014-10-29,21
"30",2014-10-30,24
"31",2014-10-31,28
"32",2014-11-01,31
"33",2014-11-02,30
"34",2014-11-03,31
"35",2014-11-04,31
"36",2014-11-05,31
"37",2014-11-06,38
"38",2014-11-07,41
"39",2014-11-08,44
"40",2014-11-09,43
"41",2014-11-10,35
"42",2014-11-11,34
"43",2014-11-12,33
"44",2014-11-13,31
"45",2014-11-14,36
"46",2014-11-15,44
"47",2014-11-16,46
"48",2014-11-17,35
"49",2014-11-18,34
"50",2014-11-19,35
"51",2014-11-20,40
"52",2014-11-21,47
"53",2014-11-22,56
"54",2014-11-23,51
"55",2014-11-24,41
"56",2014-11-25,43
"57",2014-11-26,45
"58",2014-11-27,49
"59",2014-11-28,53
"60",2014-11-29,83
"61",2014-11-30,100
