"","start","Action.Jackson."
"1",2015-01-01,100
"2",2015-01-02,87
"3",2015-01-03,89
"4",2015-01-04,84
"5",2015-01-05,61
"6",2015-01-06,62
"7",2015-01-07,57
"8",2015-01-08,53
"9",2015-01-09,57
"10",2015-01-10,65
"11",2015-01-11,62
"12",2015-01-12,49
"13",2015-01-13,48
"14",2015-01-14,50
"15",2015-01-15,46
"16",2015-01-16,49
"17",2015-01-17,57
"18",2015-01-18,52
"19",2015-01-19,39
"20",2015-01-20,41
"21",2015-01-21,37
"22",2015-01-22,36
"23",2015-01-23,38
"24",2015-01-24,50
"25",2015-01-25,44
"26",2015-01-26,34
"27",2015-01-27,32
"28",2015-01-28,31
"29",2015-01-29,32
"30",2015-01-30,32
"31",2015-01-31,40
