"","start","Finding.Fanny."
"1",2014-10-01,90
"2",2014-10-02,85
"3",2014-10-03,81
"4",2014-10-04,100
"5",2014-10-05,82
"6",2014-10-06,56
"7",2014-10-07,49
"8",2014-10-08,50
"9",2014-10-09,47
"10",2014-10-10,49
"11",2014-10-11,70
"12",2014-10-12,78
"13",2014-10-13,47
"14",2014-10-14,39
"15",2014-10-15,34
"16",2014-10-16,30
"17",2014-10-17,38
"18",2014-10-18,50
"19",2014-10-19,48
"20",2014-10-20,29
"21",2014-10-21,31
"22",2014-10-22,27
"23",2014-10-23,25
"24",2014-10-24,29
"25",2014-10-25,38
"26",2014-10-26,36
"27",2014-10-27,25
"28",2014-10-28,26
"29",2014-10-29,23
"30",2014-10-30,27
"31",2014-10-31,26
