"","start","Finding.Fanny."
"1",2014-08-01,1
"2",2014-08-02,1
"3",2014-08-03,1
"4",2014-08-04,1
"5",2014-08-05,1
"6",2014-08-06,1
"7",2014-08-07,1
"8",2014-08-08,1
"9",2014-08-09,1
"10",2014-08-10,1
"11",2014-08-11,3
"12",2014-08-12,3
"13",2014-08-13,3
"14",2014-08-14,3
"15",2014-08-15,3
"16",2014-08-16,3
"17",2014-08-17,4
"18",2014-08-18,4
"19",2014-08-19,4
"20",2014-08-20,4
"21",2014-08-21,4
"22",2014-08-22,5
"23",2014-08-23,5
"24",2014-08-24,5
"25",2014-08-25,4
"26",2014-08-26,4
"27",2014-08-27,4
"28",2014-08-28,4
"29",2014-08-29,4
"30",2014-08-30,4
"31",2014-08-31,5
"32",2014-09-01,3
"33",2014-09-02,5
"34",2014-09-03,6
"35",2014-09-04,7
"36",2014-09-05,7
"37",2014-09-06,9
"38",2014-09-07,14
"39",2014-09-08,11
"40",2014-09-09,11
"41",2014-09-10,14
"42",2014-09-11,24
"43",2014-09-12,83
"44",2014-09-13,100
"45",2014-09-14,76
"46",2014-09-15,45
"47",2014-09-16,34
"48",2014-09-17,28
"49",2014-09-18,24
"50",2014-09-19,24
"51",2014-09-20,29
"52",2014-09-21,24
"53",2014-09-22,16
"54",2014-09-23,16
"55",2014-09-24,15
"56",2014-09-25,15
"57",2014-09-26,14
"58",2014-09-27,16
"59",2014-09-28,12
"60",2014-09-29,6
"61",2014-09-30,6
