"","start","Ramaiya.Vastavaiya.movie."
"1",2013-07-01,12
"2",2013-07-02,11
"3",2013-07-03,12
"4",2013-07-04,12
"5",2013-07-05,12
"6",2013-07-06,21
"7",2013-07-07,16
"8",2013-07-08,13
"9",2013-07-09,12
"10",2013-07-10,11
"11",2013-07-11,9
"12",2013-07-12,13
"13",2013-07-13,18
"14",2013-07-14,17
"15",2013-07-15,11
"16",2013-07-16,15
"17",2013-07-17,15
"18",2013-07-18,23
"19",2013-07-19,78
"20",2013-07-20,100
"21",2013-07-21,87
"22",2013-07-22,70
"23",2013-07-23,59
"24",2013-07-24,62
"25",2013-07-25,61
"26",2013-07-26,59
"27",2013-07-27,70
"28",2013-07-28,59
"29",2013-07-29,41
"30",2013-07-30,40
"31",2013-07-31,38
