"","start","Ramaiya.Vastavaiya.movie."
"1",2013-05-01,1
"2",2013-05-02,1
"3",2013-05-03,1
"4",2013-05-04,2
"5",2013-05-05,1
"6",2013-05-06,1
"7",2013-05-07,1
"8",2013-05-08,1
"9",2013-05-09,1
"10",2013-05-10,2
"11",2013-05-11,3
"12",2013-05-12,4
"13",2013-05-13,3
"14",2013-05-14,4
"15",2013-05-15,4
"16",2013-05-16,6
"17",2013-05-17,6
"18",2013-05-18,7
"19",2013-05-19,5
"20",2013-05-20,8
"21",2013-05-21,7
"22",2013-05-22,7
"23",2013-05-23,7
"24",2013-05-24,7
"25",2013-05-25,6
"26",2013-05-26,6
"27",2013-05-27,7
"28",2013-05-28,6
"29",2013-05-29,6
"30",2013-05-30,6
"31",2013-05-31,7
"32",2013-06-01,8
"33",2013-06-02,9
"34",2013-06-03,9
"35",2013-06-04,8
"36",2013-06-05,9
"37",2013-06-06,10
"38",2013-06-07,10
"39",2013-06-08,13
"40",2013-06-09,12
"41",2013-06-10,9
"42",2013-06-11,10
"43",2013-06-12,9
"44",2013-06-13,11
"45",2013-06-14,14
"46",2013-06-15,15
"47",2013-06-16,14
"48",2013-06-17,9
"49",2013-06-18,11
"50",2013-06-19,11
"51",2013-06-20,11
"52",2013-06-21,13
"53",2013-06-22,17
"54",2013-06-23,14
"55",2013-06-24,12
"56",2013-06-25,11
"57",2013-06-26,12
"58",2013-06-27,11
"59",2013-06-28,13
"60",2013-06-29,18
"61",2013-06-30,15
"62",2013-07-01,14
"63",2013-07-02,11
"64",2013-07-03,12
"65",2013-07-04,13
"66",2013-07-05,12
"67",2013-07-06,19
"68",2013-07-07,16
"69",2013-07-08,13
"70",2013-07-09,11
"71",2013-07-10,12
"72",2013-07-11,9
"73",2013-07-12,13
"74",2013-07-13,19
"75",2013-07-14,18
"76",2013-07-15,13
"77",2013-07-16,16
"78",2013-07-17,16
"79",2013-07-18,20
"80",2013-07-19,78
"81",2013-07-20,100
"82",2013-07-21,88
"83",2013-07-22,70
"84",2013-07-23,60
"85",2013-07-24,61
"86",2013-07-25,60
"87",2013-07-26,60
"88",2013-07-27,70
"89",2013-07-28,59
"90",2013-07-29,43
"91",2013-07-30,41
"92",2013-07-31,39
