"","start","Ramaiya.Vastavaiya.movie."
"1",2013-08-01,81
"2",2013-08-02,88
"3",2013-08-03,100
"4",2013-08-04,97
"5",2013-08-05,67
"6",2013-08-06,68
"7",2013-08-07,67
"8",2013-08-08,62
"9",2013-08-09,77
"10",2013-08-10,86
"11",2013-08-11,77
"12",2013-08-12,59
"13",2013-08-13,55
"14",2013-08-14,52
"15",2013-08-15,58
"16",2013-08-16,64
"17",2013-08-17,75
"18",2013-08-18,62
"19",2013-08-19,49
"20",2013-08-20,48
"21",2013-08-21,50
"22",2013-08-22,47
"23",2013-08-23,48
"24",2013-08-24,56
"25",2013-08-25,52
"26",2013-08-26,38
"27",2013-08-27,37
"28",2013-08-28,40
"29",2013-08-29,41
"30",2013-08-30,45
"31",2013-08-31,56
