"","start","Raanjhanaa.movie."
"1",2013-08-01,51
"2",2013-08-02,85
"3",2013-08-03,100
"4",2013-08-04,89
"5",2013-08-05,59
"6",2013-08-06,58
"7",2013-08-07,59
"8",2013-08-08,61
"9",2013-08-09,73
"10",2013-08-10,93
"11",2013-08-11,84
"12",2013-08-12,59
"13",2013-08-13,57
"14",2013-08-14,49
"15",2013-08-15,54
"16",2013-08-16,58
"17",2013-08-17,77
"18",2013-08-18,88
"19",2013-08-19,41
"20",2013-08-20,44
"21",2013-08-21,43
"22",2013-08-22,38
"23",2013-08-23,45
"24",2013-08-24,62
"25",2013-08-25,45
"26",2013-08-26,37
"27",2013-08-27,34
"28",2013-08-28,37
"29",2013-08-29,34
"30",2013-08-30,43
"31",2013-08-31,54
