"","start","Raanjhanaa.movie."
"1",2013-07-01,69
"2",2013-07-02,71
"3",2013-07-03,67
"4",2013-07-04,76
"5",2013-07-05,84
"6",2013-07-06,100
"7",2013-07-07,80
"8",2013-07-08,53
"9",2013-07-09,48
"10",2013-07-10,44
"11",2013-07-11,38
"12",2013-07-12,47
"13",2013-07-13,63
"14",2013-07-14,53
"15",2013-07-15,34
"16",2013-07-16,32
"17",2013-07-17,28
"18",2013-07-18,27
"19",2013-07-19,36
"20",2013-07-20,40
"21",2013-07-21,39
"22",2013-07-22,22
"23",2013-07-23,20
"24",2013-07-24,22
"25",2013-07-25,25
"26",2013-07-26,28
"27",2013-07-27,33
"28",2013-07-28,32
"29",2013-07-29,17
"30",2013-07-30,18
"31",2013-07-31,19
