"","start","Raanjhanaa.movie."
"1",2013-06-01,5
"2",2013-06-02,4
"3",2013-06-03,3
"4",2013-06-04,2
"5",2013-06-05,3
"6",2013-06-06,3
"7",2013-06-07,3
"8",2013-06-08,3
"9",2013-06-09,3
"10",2013-06-10,2
"11",2013-06-11,3
"12",2013-06-12,2
"13",2013-06-13,2
"14",2013-06-14,4
"15",2013-06-15,4
"16",2013-06-16,4
"17",2013-06-17,3
"18",2013-06-18,5
"19",2013-06-19,6
"20",2013-06-20,9
"21",2013-06-21,65
"22",2013-06-22,100
"23",2013-06-23,71
"24",2013-06-24,58
"25",2013-06-25,45
"26",2013-06-26,49
"27",2013-06-27,45
"28",2013-06-28,71
"29",2013-06-29,96
"30",2013-06-30,70
