"","start","Phantom.movie."
"1",2015-06-01,47
"2",2015-06-02,49
"3",2015-06-03,43
"4",2015-06-04,40
"5",2015-06-05,70
"6",2015-06-06,60
"7",2015-06-07,72
"8",2015-06-08,45
"9",2015-06-09,36
"10",2015-06-10,49
"11",2015-06-11,51
"12",2015-06-12,56
"13",2015-06-13,72
"14",2015-06-14,52
"15",2015-06-15,45
"16",2015-06-16,54
"17",2015-06-17,40
"18",2015-06-18,43
"19",2015-06-19,75
"20",2015-06-20,100
"21",2015-06-21,88
"22",2015-06-22,65
"23",2015-06-23,50
"24",2015-06-24,56
"25",2015-06-25,57
"26",2015-06-26,57
"27",2015-06-27,60
"28",2015-06-28,52
"29",2015-06-29,48
"30",2015-06-30,45
